total cpu usage,,,,,dsk/total,,net/total,,paging,,system,,system
usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,time
2.068,0.973,96.864,0.096,0,1080570.341,1097252.408,0,0,0,0,4507.891,7410.492,27-08 11:47:03
0.694,0.252,99.054,0,0,0,0,8073,0,0,0,7229,2176,27-08 11:47:04
1.503,1.002,97.37,0.125,0,0,114688,12645,0,0,0,1387,2256,27-08 11:47:05
9.975,14.141,75.758,0.126,0,0,434176,7887,0,0,0,3301,34277,27-08 11:47:06
9.944,14.916,75.14,0,0,0,0,5837,0,0,0,3167,37841,27-08 11:47:07
9.58,14.402,75.579,0.438,0,0,376832,7758,0,0,0,3305,39157,27-08 11:47:08
10.174,14.578,75.248,0,0,0,0,5392,0,0,0,3251,40219,27-08 11:47:09
9.601,14.651,75.748,0,0,0,0,4274,0,0,0,3271,40712,27-08 11:47:10
9.452,14.556,75.803,0.189,0,0,753664,8350,0,0,0,3213,37329,27-08 11:47:11
9.601,14.713,75.686,0,0,0,0,5124,0,0,0,3336,43240,27-08 11:47:12
9.762,14.205,76.033,0,0,0,0,6294,0,0,0,3311,45778,27-08 11:47:13
9.137,14.241,76.623,0,0,0,0,7550,0,0,0,3217,41918,27-08 11:47:14
9.762,14.268,75.97,0,0,0,303104,6831,0,0,0,3123,38000,27-08 11:47:15
12.017,14.633,73.35,0,0,0,188416,184305,0,0,0,3737,35248,27-08 11:47:16
10.289,13.927,75.784,0,0,0,0,7563,0,0,0,2967,34629,27-08 11:47:17
10.163,13.739,76.098,0,0,0,0,8173,171,0,0,3529,44356,27-08 11:47:18
9.838,14.57,75.592,0,0,0,0,4012,171,0,0,3104,36018,27-08 11:47:19
9.011,15.081,75.907,0,0,0,0,5504,0,0,0,3056,38160,27-08 11:47:20
9.738,14.544,75.718,0,0,0,172032,19927,0,0,0,3273,43223,27-08 11:47:21
10.205,14.437,75.358,0,0,0,0,55165,0,0,0,3197,43489,27-08 11:47:22
9.684,13.861,76.456,0,0,0,0,81104,2645,0,0,3537,42614,27-08 11:47:23
9.893,14.052,76.055,0,0,0,0,13413,3424,0,0,3580,43035,27-08 11:47:24
10.497,14.41,75.093,0,0,0,303104,9448,5741,0,0,3425,42344,27-08 11:47:25
10.156,14.393,75.452,0,0,0,1286144,9564,0,0,0,3266,43251,27-08 11:47:26
10.411,13.965,75.623,0,0,0,0,9484,0,0,0,3297,43167,27-08 11:47:27
8.438,15.05,76.511,0,0,0,0,7441,0,0,0,3343,43227,27-08 11:47:28
9.307,15.053,75.203,0.437,0,0,122880,7045,0,0,0,3046,40691,27-08 11:47:29
9.637,14.456,75.907,0,0,0,0,5295,0,0,0,2941,38600,27-08 11:47:30
9.285,14.868,75.847,0,0,0,0,4898,0,0,0,3257,41709,27-08 11:47:31
9.944,14.134,75.922,0,0,0,0,5550,0,0,0,3344,44651,27-08 11:47:32
